Columns Steel - Data,,,,,,,,,,,,,,,,,
Mark,Type Mark,Family,Type,Classification.MasterFormat.Description,Classification.MasterFormat.Number,Count,Base Level,Base Offset,Top Level,Top Offset,Length,Column Location Mark,BHE_Material,Workset,BHE_Material Grade,Tonnage By Volume,
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-125,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-124,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-123,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-122,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-121,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-120,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-119,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-118,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-117,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-116,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-115,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-114,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-113,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-112,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-111,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
,,BHE_StructuralColumns_UB-UniversalBeams-Column,1300x520PG,,,1,EXISTING - LEVEL 00,0,EXISTING - LEVEL 08,-2100,20760,1C-110,Steel,BHE_ELEM_Existing Structure Turbine Hall_Retained,,1.034 m³,8.115707
